Manufacturer Part Number	Digi-Key Part Number	Description	Manufacturer	Packaging	PnP Feeder	Unit Price
CL21B225KAFNNWE	1276-2955-2-ND	CAP CER 2.2UF 25V X7R 0805			8mm x 4mm	0.05358
GJM1555C1H200JB01D	490-3120-1-ND	CAP CER 20PF 50V C0G/NP0 0402			8mm x 2mm	0.03832
CL21A226MOCLRNC	1276-6780-2-ND	CAP CER 22UF 16V X5R 0805			8mm x 4mm	0.07257
CL05A226MQ5N6J8	1276-7090-6-ND	CAP CER 22UF 6.3V X5R 0402	Samsung Electro-Mechanics	Digi-Reel	8mm x 2mm	
GRM188R60J226MEA0D	490-7611-2-ND	CAP CER 22UF 6.3V X5R 0603			8mm x 2mm	0.03971
CL05C240JB5NNNC	1276-1670-2-ND	CAP CER 24PF 50V C0G/NP0 0402			8mm x 2mm	0.00788
CC0402JRNPO9BN240	311-1348-2-ND	CAP CER 24PF 50V C0G/NPO 0402			8mm x 2mm	0.00605
CC0402GRNPO9BN240	311-3334-2-ND	CAP CER 24PF 50V NPO 0402	Yageo	Tape & Reel (TR)	8mm x 2mm	
CL21B331KBANNNC	1276-1765-2-ND	CAP CER 330PF 50V X7R 0805			8mm x 4mm	0.01174
CL21B475KPFNNNE	1276-2972-2-ND	CAP CER 4.7UF 10V X7R 0805			8mm x 4mm	0.05027
CL05A475MO5NUNC	1276-6836-6-ND	CAP CER 4.7UF 16V X5R 0402			8mm x 2mm	0.1693
GRM0335C1H470JA01D	490-6129-2-ND	CAP CER 47PF 50V C0G/NP0 0201			8mm x 2mm	0.00264
CL05C470JB5NNNC	1276-1699-2-ND	CAP CER 47PF 50V C0G/NP0 0402			8mm x 2mm	0.00296
GRM2195C1H682JA01D	490-1638-1-ND	CAP CER 6800PF 50V C0G/NP0 0805			8mm x 4mm	0.07092
B32922C3104M000	495-2319-ND	CAP FILM 0.1UF 20% 630VDC RADIAL			Hand	0.2416
TL8A0107M010D	718-1921-1-ND	CAP TANT 100UF 20% 10V 1206			8mm x 4mm	0.7675
