Manufacturer Part Number	Digi-Key Part Number	Description	Manufacturer	Packaging	PnP Feeder	Unit Price
RMCF0805FT2R40	RMCF0805FT2R40CT-ND	RES 2.4 OHM 1% 1/8W 0805				0.00506
RMCF0805FT2K49	RMCF0805FT2K49TR-ND	RES 2.49K OHM 1% 1/8W 0805				0.00304
RMCF0402JT200R	RMCF0402JT200RTR-ND	RES 200 OHM 5% 1/16W 0402				0.00116
RNCS0805BKE20K0	RNCS0805BKE20K0TR-ND	RES 20K OHM 0.1% 1/10W 0805				0.088
RK73B1ETTP203J	2019-RK73B1ETTP203JTR-ND	RES 20K OHM 5% 1/10W 0402				0.00165
RMCF0805FT240K	RMCF0805FT240KTR-ND	RES 240K OHM 1% 1/8W 0805				0.00304
RMCF0402JT27R0	RMCF0402JT27R0TR-ND	RES 27 OHM 5% 1/16W 0402	Stackpole Electronics Inc	Tape & Reel (TR)	8mm x 2mm	
RK73B1ETTP273J	2019-RK73B1ETTP273JTR-ND	RES 27K OHM 5% 1/10W 0402				0.00165
RMCF0402JT2K00	RMCF0402JT2K00TR-ND	RES 2K OHM 5% 1/16W 0402				0.00116
RMCF0402JT30K0	RMCF0402JT30K0TR-ND	RES 30K OHM 5% 1/16W 0402				0.00116
RMCF0402JT33R0	RMCF0402JT33R0TR-ND	RES 33 OHM 5% 1/16W 0402	Stackpole Electronics Inc	Tape & Reel (TR)	8mm x 2mm	
RMCF0805FT330K	RMCF0805FT330KTR-ND	RES 330K OHM 1% 1/8W 0805				0.00304
RMCF0805FT33K0	RMCF0805FT33K0TR-ND	RES 33K OHM 1% 1/8W 0805				0.00304
RMCF0402JT4K70	RMCF0402JT4K70TR-ND	RES 4.7K OHM 5% 1/16W 0402				0.00116
RMCF0402JT470R	RMCF0402JT470RTR-ND	RES 470 OHM 5% 1/16W 0402	Stackpole Electronics Inc	Tape & Reel (TR)	8mm x 2mm	
RMCF0402JT510R	738-RMCF0402JT510RTR-ND	RES 510 OHM 5% 1/16W 0402				0.00116
RMCF0402FT6K49	RMCF0402FT6K49TR-ND	RES 6.49K OHM 1% 1/16W 0402	Stackpole Electronics Inc	Tape & Reel (TR)	8mm x 2mm	
YC124-FR-0749R9L	YC124F-49.9CT-ND	RES ARRAY 4 RES 49.9 OHM 0804				0.1159
ERJ-6GEY0R00V	P0.0ATR-ND	RES SMD 0 OHM JUMPER 1/8W 0805				0.00646
CRCW08050000Z0EA	541-0.0ATR-ND	RES SMD 0 OHM JUMPER 1/8W 0805				0.00442
CRCW08051R00FKEAHP	541-1.00TDKR-ND	RES SMD 1 OHM 1% 1/2W 0805				0.0556
RC0805FR-071RL	311-1.00CRTR-ND	RES SMD 1 OHM 1% 1/8W 0805				0.00857
ERJ-2RKF1501X	P1.50KLTR-ND	RES SMD 1.5K OHM 1% 1/10W 0402				0.00248
ERJ-6ENF1501V	P1.50KCTR-ND	RES SMD 1.5K OHM 1% 1/8W 0805				0.0085
ERJ-6ENF1801V	P1.80KCTR-ND	RES SMD 1.8K OHM 1% 1/8W 0805				0.0085
RC0402FR-07100RL	311-100LRTR-ND	RES SMD 100 OHM 1% 1/16W 0402				0.00163
RC0805FR-07100KL	311-100KCRTR-ND	RES SMD 100K OHM 1% 1/8W 0805				0.00477
AC0805FR-0710KL	311-10KLGTR-ND	RES SMD 10K OHM 1% 1/8W 0805				0.00578
RC2012F106CS	1276-5465-2-ND	RES SMD 10M OHM 1% 1/8W 0805				0.01512
ERJ-6ENF1152V	P11.5KCTR-ND	RES SMD 11.5K OHM 1% 1/8W 0805				0.0085
RC0805FR-07110KL	311-110KCRTR-ND	RES SMD 110K OHM 1% 1/8W 0805				0.00477
ERJ-6ENF15R0V	P15.0CTR-ND	RES SMD 15 OHM 1% 1/8W 0805				0.0085
ERJ-2RKF1500X	P150LTR-ND	RES SMD 150 OHM 1% 1/10W 0402				0.00248
RC1206FR-07150RL	311-150FRTR-ND	RES SMD 150 OHM 1% 1/4W 1206				0.00851
CR0805-FX-1502ELF	CR0805-FX-1502ELFTR-ND	RES SMD 15K OHM 1% 1/8W 0805				0.00304
ERJ-6ENF1600V	P160CTR-ND	RES SMD 160 OHM 1% 1/8W 0805				0.0085
ERJ-6ENF1803V	P180KCTR-ND	RES SMD 180K OHM 1% 1/8W 0805				0.0085
CRG0402J1K0	A106129TR-ND	RES SMD 1K OHM 5% 1/16W 0402	TE Connectivity Passive Product	Tape & Reel (TR)	8mm x 2mm	
RC0402FR-071ML	311-1.00MLRTR-ND	RES SMD 1M OHM 1% 1/16W 0402				0.00163
CRG0805F1M0	A106058TR-ND	RES SMD 1M OHM 1% 1/8W 0805				0.00585
RC0201FR-072K2L	YAG2572TR-ND	RES SMD 2.2K OHM 1% 1/20W 0201				0.00419
RC1206FR-072K2L	311-2.20KFRTR-ND	RES SMD 2.2K OHM 1% 1/4W 1206				0.00851
RC0805FR-072K32L	311-2.32KCRTR-ND	RES SMD 2.32K OHM 1% 1/8W 0805				0.00477
ERJ-2GEJ2R4X	P2.4JTR-ND	RES SMD 2.4 OHM 5% 1/10W 0402				0.00215
RC0805FR-0722RL	311-22.0CRTR-ND	RES SMD 22 OHM 1% 1/8W 0805				0.00477
CR0805-FX-2200ELF	CR0805-FX-2200ELFTR-ND	RES SMD 220 OHM 1% 1/8W 0805				0.00304
CR0805-FX-2202ELF	CR0805-FX-2202ELFTR-ND	RES SMD 22K OHM 1% 1/8W 0805				0.00323
RC0402FR-0724RL	YAG3073TR-ND	RES SMD 24 OHM 1% 1/16W 0402				0.00163
ERJ-2GEJ244X	P240KJTR-ND	RES SMD 240K OHM 5% 1/10W 0402				0.00215
RC1206JR-0727RL	311-27ERTR-ND	RES SMD 27 OHM 5% 1/4W 1206				0.0073
ERJ-6ENF2742V	P27.4KCTR-ND	RES SMD 27.4K OHM 1% 1/8W 0805				0.0085
RC0805FR-072KL	311-2.00KCRTR-ND	RES SMD 2K OHM 1% 1/8W 0805				0.00477
RC1206FR-0730KL	311-30.0KFRTR-ND	RES SMD 30K OHM 1% 1/4W 1206				0.00851
RC0402JR-0730KL	311-30KJRTR-ND	RES SMD 30K OHM 5% 1/16W 0402	Yageo	Tape & Reel (TR)	8mm x 2mm	
RC0805FR-0733RL	311-33.0CRTR-ND	RES SMD 33 OHM 1% 1/8W 0805				0.00477
ERJ-6ENF3001V	P3.0KCTR-ND	RES SMD 3K OHM 1% 1/8W 0805				0.0085
KTR10EZPF4R70	RHM4.70AHTR-ND	RES SMD 4.7 OHM 1% 1/8W 0805				0.018
CRG0805F4K7	A106065TR-ND	RES SMD 4.7K OHM 1% 1/8W 0805				0.00585
CR0805-FX-4701ELF	CR0805-FX-4701ELFTR-ND	RES SMD 4.7K OHM 1% 1/8W 0805				0.00315
ERJ-6ENF4991V	P4.99KCTR-ND	RES SMD 4.99K OHM 1% 1/8W 0805				0.0085
RC1206FR-07453KL	311-453KFRTR-ND	RES SMD 453K OHM 1% 1/4W 1206				0.00851
RC0805FR-0747RL	311-47.0CRTR-ND	RES SMD 47 OHM 1% 1/8W 0805				0.00477
ERJ-PB6D4700V	P20981TR-ND	RES SMD 470 OHM 0.5% 1/4W 0805				0.0261
RC0805FR-0747KL	311-47.0KCRTR-ND	RES SMD 47K OHM 1% 1/8W 0805				0.00477
ERJ-2RKF51R0X	P51.0LTR-ND	RES SMD 51 OHM 1% 1/10W 0402				0.00248
RC0805FR-07510RL	311-510CRTR-ND	RES SMD 510 OHM 1% 1/8W 0805				0.00477
ERJ-6ENF5103V	P510KCTR-ND	RES SMD 510K OHM 1% 1/8W 0805				0.0085
RC0805FR-0751KL	311-51.0KCRTR-ND	RES SMD 51K OHM 1% 1/8W 0805				0.00477
RC1206FR-07576RL	311-576FRTR-ND	RES SMD 576 OHM 1% 1/4W 1206				0.00851
ERJ-6ENF6201V	P6.20KCTR-ND	RES SMD 6.2K OHM 1% 1/8W 0805				0.0085
ERJ-2RKF6491X	P6.49KLTR-ND	RES SMD 6.49K OHM 1% 1/10W 0402				0.00248
ERJ-6ENF6491V	P6.49KCTR-ND	RES SMD 6.49K OHM 1% 1/8W 0805				0.0085
RC1206JR-076M8L	311-6.8MERTR-ND	RES SMD 6.8M OHM 5% 1/4W 1206				0.0073
RC1206FR-0760R4L	311-60.4FRTR-ND	RES SMD 60.4 OHM 1% 1/4W 1206				0.00851
RC0805FR-0762RL	311-62.0CRTR-ND	RES SMD 62 OHM 1% 1/8W 0805				0.00477
RC0805FR-07698RL	311-698CRTR-ND	RES SMD 698 OHM 1% 1/8W 0805				0.00477
RC0805FR-078K2L	311-8.20KCRTR-ND	RES SMD 8.2K OHM 1% 1/8W 0805				0.00477
ERJ-6ENF9100V	P910CTR-ND	RES SMD 910 OHM 1% 1/8W 0805				0.0085
3320	1528-1801-ND	RX TXRX MOD BLE WIFI TRACE ANT				8.95
453-00013C	453-00013C-ND	RX TXRX MOD WIFI CHIP + U.FL SMD				16.74
ESP32-WROOM-32D (4MB)	1965-ESP32-WROOM-32D(4MB)TR-ND	RX TXRX MOD WIFI TRACE ANT SMD	Espressif Systems	Tape & Reel (TR)	44mm x 4mm	3.8
ISM43340-L77-TR	1475-1047-6-ND	RX TXRX MOD WIFI TRACE+U.FL SMD	Inventek Systems	Tape & Reel (TR)	44mm x 4mm	17.19
453-00014C	453-00014C-ND	RX TXRX MODULE WIFI CHIP SMD	Laird Connectivity Inc.	Tape & Reel (TR)	44mm x 4mm	17.28
ESP32-WROOM-32U (4MB)	1965-ESP32-WROOM-32U(4MB)DKR-ND	RX TXRX MODULE WIFI U.FL SMD	Espressif Systems	Tape & Reel (TR)	44mm x 4mm	5.2
SI7021-A20-GM1R	336-4380-1-ND	SENS HUMID/TEMP 3.6V I2C 2% 6DFN	Silicon Labs	Tape & Reel (TR)	12mm x 4mm	3.2436
ESE-11SH2C	P10863S-ND	SWITCH DETECTOR SPST-NO 10MA 5V	Panasonic Electronic Components	Tray	Hand	0.3361
ESE-11SV1	P8062S-ND	SWITCH DETECTOR SPST-NO 10MA 5V	Panasonic Electronic Components	Tray	Hand	0.3361
D2HW-BR201DR	SW714-ND	SWITCH SNAP ACT SPDT 100MA 125V	Panasonic Electronic Components	Tray	Hand	2.1593
D2FD-2L0-1T	SW1375-ND	SWITCH SNAP ACTION SPDT 2A 125V	Panasonic Electronic Components	Tray	Hand	3.0368
PTS810 SJM 250 SMTR LFS	CKN10502CT-ND	SWITCH TACTILE SPST-NO 0.05A 16V	C & K	Tape & Reel (TR)	12mm x 4mm	0.24532
691322310002	732-2088-ND	TERM BLOCK HDR 2POS 90DEG 3.81MM	Würth Elektronik	Bulk	Hand	
691322310004	732-2090-ND	TERM BLOCK HDR 4POS 90DEG 3.81MM	Würth Elektronik	Bulk	Hand	
691361300002	732-2076-ND	TERM BLOCK PLUG 2POS STR 3.81MM	Würth Elektronik	Bulk	Hand	
691361300004	732-2078-ND	TERM BLOCK PLUG 4POS STR 3.81MM	Würth Elektronik	Bulk	Hand	
"BC846BW,115"	1727-4848-2-ND	TRANS NPN 65V 0.1A SOT323	Nexperia USA Inc.	Tape & Reel (TR)	8mm x 4mm	
DDTC143ZUA-7-F	DDTC143ZUA-FDITR-ND	TRANS PREBIAS NPN 200MW SOT323	Diodes Incorporated	Tape & Reel (TR)	8mm x 4mm	0.04309
PUSB3AB6Z	1727-2028-1-ND	TVS DIODE 3.3V 6V 7XSON	Nexperia USA Inc.	Tape & Reel (TR)	12mm x 4mm	0.168
TPD2E2U06DRLR	296-38361-1-ND	TVS DIODE 5.5V 12.4V SOT5	Texas Instruments	Cut Tape (CT)	8mm x 4mm	
VDRUS10T510BSE	BC5469-ND	VDR US 10D 4500A 510V STLDS BULK	Vishay Beyschlag/Draloric/BC Components	Bulk	Hand	1.0568
KC2520B16.0000C1GE00	1253-1240-1-ND	XTAL OSC XO 16.0000MHZ CMOS SMD	Kyocera International Inc. Electronic Components	Cut Tape (CT)	12mm x 4mm	1.08
KC2520B32K7680CM2E00	1253-1026-1-ND	XTAL OSC XO 32.7680KHZ CMOS SMD	Kyocera International Inc. Electronic Components	Cut Tape (CT)	12mm x 4mm	1.44
KC3225K50.0000C1GE00	1253-1414-1-ND	XTAL OSC XO 50.0000MHZ CMOS SMD	Kyocera International Inc. Electronic Components	Cut Tape (CT)	12mm x 4mm	0.9
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
