"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C12","C0805","1837.5mil","903.307mil","1797.5mil","903.307mil","1797.5mil","903.307mil","T","360.00","330nF"
"C11","C0603","1400mil","1385.807mil","1400mil","1418.307mil","1400mil","1418.307mil","T","270.00","0.1uF"
"C10","C0805","1325mil","1383.307mil","1325mil","1343.307mil","1325mil","1343.307mil","T","90.00","10uF"
"C9","C0805","1662.5mil","903.307mil","1622.5mil","903.307mil","1622.5mil","903.307mil","T","360.00","330nF"
"C8","C0805","2220mil","2818.307mil","2260mil","2818.307mil","2260mil","2818.307mil","T","180.00","0.1uF"
"C7","C0805","2395mil","3093.307mil","2395mil","3133.307mil","2395mil","3133.307mil","T","270.00","0.1uF"
"C6","C0805","2880mil","2793.307mil","2920mil","2793.307mil","2920mil","2793.307mil","T","180.00","0.1uF"
"C5","C0805","2880mil","2708.307mil","2920mil","2708.307mil","2920mil","2708.307mil","T","180.00","10uF"
"C4","C_TANT_B3528","2192.5mil","2933.307mil","2125mil","2933.307mil","2125mil","2933.307mil","T","360.00","22uF"
"C3","C_TANT_B3528","2510mil","3120.807mil","2510mil","3053.307mil","2510mil","3053.307mil","T","90.00","22uF"
"C2","C_ALUM_MIX_10X10","2930mil","2418.307mil","2930mil","2418.307mil","2930.002mil","2565.944mil","T","180.00","220uF"
"C1","C_FILM_600","3540mil","3293.307mil","3840mil","3293.307mil","3840mil","3293.307mil","T","180.00","100pF"
"TP5","TP-SMD","1350mil","583.307mil","1350mil","583.307mil","1350mil","583.307mil","B","180.00","GND"
"TP6","TP-SMD","1750mil","583.307mil","1750mil","583.307mil","1750mil","583.307mil","B","180.00","GND"
"","HIGH_VOLTAGE_(40%)","-1637.598mil","-1381.693mil","4250mil","1093.307mil","-1637.598mil","-1381.693mil","T","0.00","Comment"
"","Logo-ATMEL","-1637.598mil","-1381.693mil","3075mil","193.307mil","-1637.598mil","-1381.693mil","T","360.00","Comment"

